Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
,70,Mother,Violet010200,you gonna stick that in there ?,Violet,384.661,386.835,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|3|OBJ] [5|3|JCT] [6|5|POBJ 7|3|PUNCT],[pro:per|you] [mod:aux|gonna] [v|stick] [pro:dem|that] [prep|in] [adv|there ?],,,,,,,,,,MotherofViolet_Violet010200_70
,71,Mother,Violet010200,I'm gonna get the laundry and bring it in here okay ?,Violet,386.835,399.375,[],[1|4|SUBJ 2|4|AUX] [3|4|AUX] [4|0|ROOT] [5|6|DET] [6|4|OBJ] [7|4|CONJ] [8|7|COORD] [9|8|OBJ] [10|8|JCT] [11|12|JCT] [12|10|POBJ 13|4|PUNCT],[pro:sub|I~aux|be&1S] [mod:aux|gonna] [v|get] [det:art|the] [n|laundry] [coord|and] [v|bring] [pro:per|it] [prep|in] [adv|here] [adj|okay ?],,,,,,,,,,MotherofViolet_Violet010200_71
,72,Mother,Violet010200,you wanna fold the laundry with me ?,Violet,399.375,401.996,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|5|DET] [5|3|OBJ] [6|5|NJCT] [7|6|POBJ 8|3|PUNCT],[pro:per|you] [mod:aux|wanna] [v|fold] [det:art|the] [n|laundry] [prep|with] [pro:obj|me ?],,,,,,,,,,MotherofViolet_Violet010200_72
,73,Mother,Violet010200,let me get the laundry .,Violet,401.996,413.305,[],[1|0|ROOT] [2|1|OBJ] [3|1|XCOMP] [4|5|DET] [5|3|OBJ 6|1|PUNCT],[v|let&ZERO] [pro:obj|me] [v|get] [det:art|the] [n|laundry .],,,,,,,,,,MotherofViolet_Violet010200_73
,74,Mother,Violet010200,did you bring that laundry upstairs ?,Violet,413.305,421.051,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|5|DET] [5|3|OBJ] [6|5|NJCT 7|3|PUNCT],[mod|do&PAST] [pro:per|you] [v|bring] [pro:dem|that] [n|laundry] [adv|upstairs ?],,,,,,,,,,MotherofViolet_Violet010200_74
,75,Father,Violet010200,oh yeah .,Violet,0.0,0.0,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|oh] [co|yeah .],,,,,,,,,,FatherofViolet_Violet010200_75
,76,Mother,Violet010200,oh that's alright .,Violet,421.051,423.481,[],[1|3|COM] [2|3|SUBJ 3|0|ROOT] [4|3|PRED 5|3|PUNCT],[co|oh] [pro:dem|that~cop|be&3S] [adj|alright .],,,,,,,,,,MotherofViolet_Violet010200_76
,77,Mother,Violet010200,you were ?,Violet,423.481,427.248,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[pro:per|you] [cop|be&PAST ?],,,,,,,,,,MotherofViolet_Violet010200_77
,78,Mother,Violet010200,you don't have_to get it .,Violet,427.248,430.966,[],[1|5|SUBJ] [2|5|AUX 3|2|NEG] [4|5|AUX] [5|0|ROOT] [6|5|OBJ 7|5|PUNCT],[pro:per|you] [mod|do~neg|not] [mod:aux|have_to] [v|get] [pro:per|it .],,,,,,,,,,MotherofViolet_Violet010200_78
,79,Mother,Violet010200,I'm not dying to do it .,Violet,430.966,432.943,[],[1|2|SUBJ 2|0|ROOT] [3|2|NEG] [4|2|PRED] [5|6|INF] [6|4|XCOMP] [7|6|OBJ 8|2|PUNCT],[pro:sub|I~cop|be&1S] [neg|not] [part|die-PRESP] [inf|to] [v|do] [pro:per|it .],,,,,,,,,,MotherofViolet_Violet010200_79
